"FiberNumber=""PS-212983-1"""								
6	240	158,736	712	758				
0	241	158,652	712	758				
1	241	156,372	712	757				
2	241	155,584	712	757				
3	241	157,076	712	757				
4	241	155,584	712	757				
5	241	156,193	712	757				
6	241	156,193	711	757				
0	242	155,25	712	757				
1	242	155,322	712	757				
2	242	155,584	712	757				
3	242	156,874	712	757				
4	242	157,148	711	757				
5	242	158,879	711	757				
6	242	158,76	711	757				
0	243	155,262	712	757				
1	243	155,31	712	757				
2	243	155,584	712	757				
3	243	156,85	712	757				
4	243	157,685	711	757				
5	243	159,01	711	757				
6	243	158,76	711	757				
0	244	158,7	711	757				
1	244	158,7	711	757				
2	244	158,843	711	757				
3	244	159,213	711	757				
4	244	157,088	711	756				
5	244	156,026	711	756				
6	244	155,763	711	756				
0	245	155,298	711	756				
1	245	155,286	711	756				
2	245	155,56	711	756				
3	245	156,838	711	756				
4	245	155,608	711	756				
5	245	156,205	711	756				
6	245	156,993	710	756				
0	246	155,286	711	756				
1	246	155,417	710	756				
2	246	155,918	710	756				
3	246	158,007	711	756				
4	246	158,676	710	756				
5	246	159,034	710	756				
6	246	158,497	710	756				
0	247	156,647	710	756				
1	247	157,924	710	756				
2	247	158,616	710	756				
3	247	159,703	710	756				
4	247	158,748	710	756				
5	247	158,784	710	756				
6	247	157,052	710	755				
0	248	155,25	710	755				
1	248	155,274	710	755				
2	248	155,584	710	755				
3	248	156,694	710	755				
4	248	155,537	710	755				
5	248	155,919	710	755				
6	248	155,656	709	755				
0	249	155,907	709	755				
1	249	156,981	709	755				
2	249	158,294	709	755				
3	249	159,548	709	755				
4	249	158,76	709	755				
5	249	158,927	709	755				
6	249	157,506	709	754				
0	250	158,055	709	755				
1	250	155,704	709	754				
2	250	155,751	709	754				
3	250	156,706	709	754				
4	250	155,668	709	754				
5	250	155,668	709	754				
6	250	155,429	709	754				
0	251	157,876	709	755				
1	251	155,727	709	754				
2	251	155,716	709	754				
3	251	156,575	709	754				
4	251	155,668	709	754				
5	251	155,68	709	754				
6	251	155,429	709	754				
0	252	155,286	709	754				
1	252	155,489	708	754				
2	252	156,241	709	754				
3	252	157,255	708	754				
4	252	158,031	708	754				
5	252	158,927	708	754				
6	252	158,7	708	754				
0	253	158,664	708	754				
1	253	158,7	708	754				
2	253	158,843	708	754				
3	253	158,951	708	753				
4	253	156,909	708	753				
5	253	155,883	708	753				
6	253	155,716	708	753				
0	254	155,262	708	753				
1	254	155,274	708	753				
2	254	155,525	708	753				
3	254	156,289	708	753				
4	254	155,477	708	753				
5	254	155,608	708	753				
6	254	155,369	707	753				
0	255	155,25	708	753				
1	255	155,369	707	753				
2	255	155,632	708	753				
3	255	156,026	708	753				
4	255	155,453	708	753				
5	255	155,835	708	753				
6	255	157,805	707	753				
0	256	156,193	707	753				
1	256	158,199	707	753				
2	256	158,533	707	753				
3	256	159,154	707	753				
4	256	158,724	707	753				
5	256	158,748	707	753				
6	256	158,175	707	753				
0	257	156,109	707	752				
1	257	155,31	707	752				
2	257	155,525	707	752				
3	257	156,217	707	752				
4	257	155,429	707	752				
5	257	155,501	707	752				
6	257	155,298	707	752				
0	258	155,226	707	752				
1	258	155,298	707	752				
2	258	155,465	707	752				
3	258	155,919	707	752				
4	258	155,393	707	752				
5	258	155,417	707	752				
6	258	155,441	706	752				
0	259	155,25	707	752				
1	259	155,369	707	752				
2	259	155,465	707	752				
3	259	155,763	707	752				
4	259	155,441	707	752				
5	259	155,465	707	752				
6	259	156,957	706	752				
0	260	157,136	706	752				
1	260	158,437	706	752				
2	260	158,533	706	752				
3	260	158,987	706	752				
4	260	158,593	706	752				
5	260	158,222	706	752				
6	260	156,635	706	751				
0	261	156,551	706	752				
1	261	157,59	706	752				
2	261	157,888	706	752				
3	261	158,915	706	752				
4	261	158,676	706	752				
5	261	158,604	706	752				
6	261	157,733	706	751				
0	262	156,802	706	751				
1	262	157,721	706	752				
2	262	157,339	706	752				
3	262	156,945	706	752				
4	262	155,644	706	751				
5	262	155,739	706	751				
6	262	155,31	706	751				
0	263	153,185	706	751				
1	263	155,286	706	751				
2	263	155,393	706	751				
3	263	155,728	706	751				
4	263	155,262	706	751				
5	263	155,465	706	751				
6	263	155,25	706	751				
0	264	153,435	706	751				
1	264	155,357	706	751				
2	264	155,31	706	751				
3	264	155,537	706	751				
4	264	155,274	706	751				
5	264	155,31	706	751				
6	264	155,393	706	751				
0	265	153,77	706	751				
1	265	155,262	706	751				
2	265	155,334	706	751				
3	265	155,525	706	751				
4	265	155,262	706	751				
5	265	155,322	706	751				
6	265	155,31	706	751				
0	266	154,617	706	751				
1	266	155,429	706	751				
2	266	155,334	706	751				
3	266	155,381	706	751				
4	266	155,334	706	751				
5	266	155,429	706	751				
6	266	157,041	705	751				
0	267	155,333	706	751				
1	267	155,954	706	751				
2	267	156,086	706	751				
3	267	156,217	705	751				
4	267	158,163	705	751				
5	267	158,473	705	751				
6	267	158,473	705	751				
0	268	153,424	705	750				
1	268	154,713	705	750				
2	268	155,357	705	750				
3	268	155,525	705	750				
4	268	155,25	705	750				
5	268	155,393	705	750				
6	268	155,357	705	750				
0	269	153,495	705	750				
1	269	154,892	705	750				
2	269	155,346	705	750				
3	269	155,513	705	750				
4	269	155,25	705	750				
5	269	155,393	705	750				
6	269	155,369	705	750				
0	270	154,832	705	750				
1	270	155,357	705	750				
2	270	155,334	705	750				
3	270	155,322	705	750				
4	270	155,25	705	750				
5	270	155,334	705	750				
6	270	155,429	705	750				
0	271	155,31	705	750				
1	271	155,405	705	750				
2	271	155,334	705	750				
3	271	155,369	705	750				
4	271	155,31	705	750				
5	271	155,405	705	750				
6	271	155,751	704	750				
0	272	155,25	705	750				
1	272	155,369	705	750				
2	272	155,334	705	750				
3	272	155,298	705	750				
4	272	155,274	705	750				
5	272	155,393	705	750				
6	272	155,656	705	750				
0	273	155,25	705	750				
1	273	155,357	705	750				
2	273	155,357	705	750				
3	273	155,322	705	750				
4	273	155,286	705	750				
5	273	155,369	705	750				
6	273	155,596	705	750				
0	274	155,357	705	750				
1	274	155,441	705	750				
2	274	155,346	705	750				
3	274	155,429	705	750				
4	274	155,441	705	750				
5	274	155,489	705	750				
6	274	155,811	705	750				
0	275	155,322	705	750				
1	275	155,405	705	750				
2	275	155,346	705	750				
3	275	155,405	705	750				
4	275	155,381	705	750				
5	275	155,465	705	750				
6	275	155,763	705	750				
0	276	156,862	705	750				
1	276	157,231	704	750				
2	276	157,542	704	750				
3	276	157,84	704	750				
4	276	158,031	704	750				
5	276	157,697	705	750				
6	276	158,008	705	750				
0	277	155,489	705	750				
1	277	155,513	705	750				
2	277	155,357	705	750				
3	277	155,441	705	750				
4	277	155,429	705	750				
5	277	155,489	705	750				
6	277	155,895	705	750				
0	278	158,437	704	750				
1	278	158,449	704	750				
2	278	158,521	704	750				
3	278	158,676	704	750				
4	278	158,616	704	750				
5	278	158,533	705	750				
6	278	158,449	704	750				
0	279	156,098	705	750				
1	279	155,751	705	750				
2	279	155,381	705	750				
3	279	155,465	705	750				
4	279	155,465	705	750				
5	279	155,513	705	750				
6	279	155,883	705	750				
0	280	158,628	704	750				
1	280	158,604	704	750				
2	280	158,294	704	750				
3	280	158,151	704	750				
4	280	157,208	705	750				
5	280	156,098	705	750				
6	280	157,184	704	750				
0	281	156,098	705	750				
1	281	155,656	705	750				
2	281	155,322	705	750				
3	281	155,477	705	750				
4	281	155,417	705	750				
5	281	155,513	705	750				
6	281	155,763	705	750				
0	282	158,557	704	750				
1	282	158,354	704	750				
2	282	156,491	705	750				
3	282	155,787	705	750				
4	282	155,501	705	750				
5	282	155,56	705	750				
6	282	156,074	705	750				
0	283	155,346	705	750				
1	283	155,417	705	750				
2	283	155,322	705	750				
3	283	155,453	705	750				
4	283	155,393	705	750				
5	283	155,501	705	750				
6	283	155,763	705	750				
0	284	155,286	705	750				
1	284	155,393	705	750				
2	284	155,31	705	750				
3	284	155,477	705	750				
4	284	155,417	705	750				
5	284	155,536	705	750				
6	284	155,847	705	750				
0	285	155,25	705	750				
1	285	155,274	705	750				
2	285	155,346	705	750				
3	285	155,62	705	750				
4	285	156,647	705	751				
5	285	158,64	705	751				
6	285	158,819	705	751				
0	286	155,25	705	750				
1	286	155,322	705	750				
2	286	155,716	705	750				
3	286	156,205	705	750				
4	286	157,852	705	751				
5	286	158,903	705	751				
6	286	158,796	705	751				
0	287	158,7	705	751				
1	287	158,545	706	751				
2	287	156,539	706	751				
3	287	155,727	706	751				
4	287	155,381	706	751				
5	287	155,62	706	751				
6	287	156,062	706	751				
0	288	158,7	706	752				
1	288	158,664	707	752				
2	288	157,327	707	752				
3	288	156,05	707	752				
4	288	155,381	707	752				
5	288	155,668	707	752				
6	288	156,229	707	752				
0	289	158,7	707	753				
1	289	158,7	707	753				
2	289	158,724	707	753				
3	289	158,784	707	753				
4	289	158,151	707	753				
5	289	156,312	708	753				
6	289	157,649	707	753				
0	290	155,381	708	753				
1	290	155,405	708	753				
2	290	155,787	708	753				
3	290	156,205	708	753				
4	290	157,411	708	754				
5	290	158,819	708	754				
6	290	158,855	708	754				
0	291	155,262	709	754				
1	291	155,298	709	754				
2	291	155,286	709	754				
3	291	155,56	709	754				
4	291	155,405	709	754				
5	291	155,751	709	754				
6	291	156,694	709	755				
0	292	157,829	709	755				
1	292	158,139	709	755				
2	292	158,402	709	754				
3	292	158,76	709	755				
4	292	158,676	709	755				
5	292	158,986	709	755				
6	292	158,76	709	755				
0	293	155,823	710	755				
1	293	155,369	710	755				
2	293	155,286	710	755				
3	293	155,596	710	755				
4	293	155,357	710	755				
5	293	155,763	710	755				
6	293	156,05	710	755				
0	294	155,25	710	755				
1	294	155,31	710	755				
2	294	155,274	710	755				
3	294	155,572	710	755				
4	294	155,369	710	755				
5	294	155,954	710	756				
6	294	157,661	710	756				
0	295	158,521	710	756				
1	295	156,133	711	756				
2	295	155,298	711	756				
3	295	155,739	711	756				
4	295	155,322	711	756				
5	295	155,787	711	756				
6	295	156,05	711	756				
0	296	158,7	711	757				
1	296	158,7	711	757				
2	296	158,7	711	757				
3	296	158,831	711	757				
4	296	158,7	711	757				
5	296	158,903	711	757				
6	296	158,569	711	757				
0	297	156,742	712	757				
1	297	156,456	712	757				
2	297	156,48	712	758				
3	297	157,256	712	758				
4	297	157,996	712	758				
5	297	159,034	712	758				
6	297	158,879	712	758				
0	298	158,7	712	758				
1	298	157,506	713	758				
2	298	155,489	713	758				
3	298	155,799	713	758				
4	298	155,322	713	758				
5	298	155,823	713	759				
6	298	156,098	713	758				
0	299	158,7	713	759				
1	299	158,7	713	759				
2	299	157,936	713	759				
3	299	157,053	713	759				
4	299	155,334	714	759				
5	299	155,883	714	760				
6	299	156,229	714	759				
0	300	155,441	714	759				
1	300	155,441	714	759				
2	300	156,527	714	760				
3	300	156,3	714	760				
4	300	157,315	714	760				
5	300	158,963	714	760				
6	300	158,855	714	760				
0	301	155,357	715	760				
1	301	155,322	715	760				
2	301	155,286	715	760				
3	301	155,656	715	761				
4	301	155,298	715	760				
5	301	156,169	715	761				
6	301	158,222	715	761				
0	302	158,7	715	761				
1	302	158,724	715	761				
2	302	158,676	715	761				
3	302	158,64	715	761				
4	302	156,217	716	761				
5	302	156,002	715	762				
6	302	156,706	715	761				
0	303	158,7	716	762				
1	303	158,724	716	762				
2	303	158,7	716	762				
3	303	158,867	716	762				
4	303	158,378	717	762				
5	303	157,506	716	763				
6	303	157,948	716	762				
0	304	156,026	717	762				
1	304	155,381	717	762				
2	304	155,393	717	762				
3	304	155,799	717	763				
4	304	155,274	717	762				
5	304	156,145	717	763				
6	304	157,434	717	763				
0	305	158,7	717	763				
1	305	158,688	717	763				
2	305	157,112	718	763				
3	305	156,79	718	763				
4	305	155,274	718	763				
5	305	156,121	718	764				
6	305	156,098	718	763				
0	306	155,525	718	763				
1	306	155,441	718	763				
2	306	156,694	718	763				
3	306	155,763	718	764				
4	306	156,396	718	764				
5	306	158,688	718	764				
6	306	158,831	718	764				
0	307	158,7	718	764				
1	307	158,724	718	764				
2	307	158,7	718	764				
3	307	158,772	718	764				
4	307	156,706	718	764				
5	307	156,491	719	764				
6	307	157,184	718	764				
0	308	158,688	718	764				
1	308	156,754	719	764				
2	308	155,548	719	764				
3	308	156,038	719	764				
4	308	155,322	718	764				
5	308	156,229	719	765				
6	308	156,312	719	764				
0	309	158,7	718	764				
1	309	158,736	718	764				
2	309	158,533	718	764				
3	309	157,793	719	764				
4	309	155,501	718	764				
5	309	156,3	719	764				
6	309	156,11	718	764				
0	310	157,411	719	764				
1	310	157,494	719	765				
2	310	158,079	719	765				
3	310	158,855	719	765				
4	310	158,7	719	765				
5	310	159,213	719	765				
6	310	158,843	719	765				
0	311	158,7	719	765				
1	311	158,724	719	765				
2	311	158,7	719	765				
3	311	158,927	719	765				
4	311	158,688	719	765				
5	311	158,449	719	765				
6	311	158,724	719	765				
0	312	158,736	719	765				
1	312	158,557	719	765				
2	312	157,602	720	765				
3	312	156,611	720	765				
4	312	155,417	719	765				
5	312	156,312	720	765				
6	312	155,823	720	765				
0	313	158,604	720	765				
1	313	158,688	720	766				
2	313	158,7	720	766				
3	313	158,987	720	766				
4	313	158,76	719	766				
5	313	159,177	720	766				
6	313	158,867	720	766				
0	314	158,33	720	765				
1	314	158,593	720	766				
2	314	158,7	720	766				
3	314	158,987	720	766				
4	314	158,772	719	766				
5	314	159,213	720	766				
6	314	158,867	720	766				
0	315	158,64	720	766				
1	315	156,599	720	766				
2	315	156,181	721	766				
3	315	156,503	721	766				
4	315	155,513	720	766				
5	315	156,396	721	766				
6	315	156,885	721	766				
0	316	156,897	721	767				
1	316	157,458	721	767				
2	316	157,984	721	767				
3	316	158,772	721	767				
4	316	158,795	720	767				
5	316	159,177	721	767				
6	316	158,867	721	767				
0	317	158,76	721	767				
1	317	158,76	721	767				
2	317	158,7	721	767				
3	317	158,891	721	767				
4	317	158,795	720	767				
5	317	158,282	722	767				
6	317	157,96	721	767				
0	318	158,772	722	768				
1	318	158,76	722	768				
2	318	158,7	722	768				
3	318	158,927	722	768				
4	318	158,795	721	768				
5	318	158,76	722	768				
6	318	158,819	722	768				
0	319	157,972	723	769				
1	319	158,342	723	769				
2	319	158,378	723	769				
3	319	159,022	723	769				
4	319	158,819	722	769				
5	319	159,07	723	769				
6	319	158,843	723	769				
0	320	158,796	722	768				
1	320	158,318	722	768				
2	320	156,754	723	768				
3	320	157,494	723	768				
4	320	155,656	722	768				
5	320	156,42	723	768				
6	320	156,909	723	769				
0	321	156,587	723	769				
1	321	157,136	723	769				
2	321	157,16	723	768				
3	321	158,939	723	769				
4	321	158,843	722	769				
5	321	159,01	723	769				
6	321	158,831	723	769				
0	322	158,807	723	769				
1	322	158,796	723	769				
2	322	158,7	723	769				
3	322	158,724	724	769				
4	322	156,945	723	769				
5	322	157,59	724	769				
6	322	155,716	724	769				
0	323	158,796	724	770				
1	323	158,748	724	770				
2	323	158,7	724	770				
3	323	158,867	724	770				
4	323	158,784	724	770				
5	323	158,7	724	770				
6	323	158,807	724	770				
0	324	158,748	725	771				
1	324	158,712	725	771				
2	324	158,7	725	771				
3	324	159,01	725	771				
4	324	158,855	725	771				
5	324	158,867	725	771				
6	324	158,807	725	771				
0	325	157,435	726	772				
1	325	158,115	726	772				
2	325	158,246	726	772				
3	325	159,225	726	772				
4	325	158,939	725	772				
5	325	158,879	726	772				
6	325	158,807	726	772				
0	326	156,766	726	771				
1	326	157,638	726	772				
2	326	157,948	726	772				
3	326	159,213	726	772				
4	326	158,915	726	772				
5	326	158,843	726	772				
6	326	158,819	726	772				
0	327	158,772	726	772				
1	327	158,736	726	772				
2	327	158,7	726	772				
3	327	158,939	726	772				
4	327	158,807	726	772				
5	327	158,676	726	772				
6	327	158,807	726	772				
0	328	158,796	726	772				
1	328	158,784	726	772				
2	328	158,7	726	772				
3	328	158,939	726	772				
4	328	158,772	726	772				
5	328	158,533	726	772				
6	328	158,676	726	772				
0	329	158,784	727	773				
1	329	158,76	727	773				
2	329	158,712	726	773				
3	329	158,986	727	773				
4	329	158,867	727	773				
5	329	158,652	727	773				
6	329	158,807	727	773				
0	330	158,784	727	773				
1	330	158,807	727	773				
2	330	158,712	726	773				
3	330	158,461	727	773				
4	330	157,805	727	773				
5	330	157,088	728	773				
6	330	155,692	728	773				
0	331	158,784	728	774				
1	331	158,784	728	774				
2	331	158,724	727	774				
3	331	158,724	728	774				
4	331	158,604	728	774				
5	331	157,649	729	774				
6	331	155,835	729	774				
0	332	158,76	728	774				
1	332	158,76	728	774				
2	332	158,724	727	774				
3	332	158,628	728	774				
4	332	158,604	728	774				
5	332	156,933	729	774				
6	332	155,62	729	774				
0	333	158,76	730	776				
1	333	158,748	730	776				
2	333	158,736	729	776				
3	333	158,784	730	776				
4	333	158,736	730	776				
5	333	157,626	730	776				
6	333	157,709	730	776				
0	334	156,05	731	776				
1	334	157,255	730	777				
2	334	158,581	729	777				
3	334	159,309	731	777				
4	334	158,939	730	777				
5	334	158,736	731	777				
6	334	158,807	731	777				
0	335	158,772	731	777				
1	335	158,795	731	777				
2	335	158,784	729	777				
3	335	159,07	731	777				
4	335	158,76	731	777				
5	335	158,067	731	777				
6	335	158,772	731	777				
0	336	158,76	731	777				
1	336	158,76	731	777				
2	336	158,784	729	777				
3	336	159,058	731	777				
4	336	158,724	731	777				
5	336	157,22	732	777				
6	336	158,079	731	777				
0	337	158,76	732	778				
1	337	158,772	732	778				
2	337	158,795	730	778				
3	337	158,784	732	778				
4	337	158,664	732	778				
5	337	156,193	733	778				
6	337	155,548	733	778				
0	338	158,664	733	779				
1	338	158,127	733	779				
2	338	156,145	732	779				
3	338	156,861	734	779				
4	338	157,721	733	780				
5	338	158,974	734	780				
6	338	158,819	734	780				
0	339	158,772	734	780				
1	339	158,831	734	780				
2	339	157,065	732	780				
3	339	156,718	735	780				
4	339	156,754	734	780				
5	339	156,193	735	780				
6	339	158,557	735	781				
0	340	158,831	735	781				
1	340	159,118	734	781				
2	340	158,963	733	781				
3	340	159,154	735	781				
4	340	158,867	735	781				
5	340	158,688	735	781				
6	340	158,772	735	781				
0	341	158,76	736	782				
1	341	158,843	736	782				
2	341	158,915	734	782				
3	341	159,106	736	782				
4	341	158,831	736	782				
5	341	158,425	736	782				
6	341	158,772	736	782				
0	342	158,736	737	783				
1	342	158,796	737	783				
2	342	158,891	735	783				
3	342	159,07	737	783				
4	342	158,64	737	783				
5	342	157,172	737	783				
6	342	156,253	738	783				
0	343	158,724	738	784				
1	343	158,819	738	784				
2	343	158,927	736	784				
3	343	159,046	738	784				
4	343	158,163	738	784				
5	343	156,766	738	784				
6	343	155,739	739	784				
0	344	158,772	739	785				
1	344	158,879	739	785				
2	344	159,022	736	785				
3	344	159,154	739	785				
4	344	158,879	739	785				
5	344	158,712	739	785				
6	344	158,748	739	785				
0	345	158,724	739	785				
1	345	158,807	739	785				
2	345	159,01	737	785				
3	345	159,142	739	785				
4	345	158,473	739	785				
5	345	158,581	739	785				
6	345	158,306	739	785				
0	346	158,342	740	785				
1	346	156,468	740	785				
2	346	155,906	737	785				
3	346	158,365	740	786				
4	346	159,368	739	786				
5	346	158,986	740	786				
6	346	158,784	740	786				
0	347	158,807	741	787				
1	347	158,175	741	787				
2	347	156,682	739	787				
3	347	157,745	742	787				
4	347	156,336	741	787				
5	347	156,98	742	788				
6	347	158,784	742	788				
0	348	157,602	742	787				
1	348	156,133	742	787				
2	348	155,942	739	787				
3	348	157,53	742	787				
4	348	158,461	741	788				
5	348	158,831	742	788				
6	348	158,796	742	788				
0	349	156,253	743	788				
1	349	155,68	743	788				
2	349	155,835	740	788				
3	349	157,828	743	789				
4	349	158,962	742	789				
5	349	158,807	743	789				
6	349	158,784	743	789				
0	350	158,831	743	789				
1	350	158,652	743	789				
2	350	158,819	741	789				
3	350	158,306	744	789				
4	350	156,587	743	789				
5	350	155,99	744	789				
6	350	157,518	744	790				
0	351	156,05	745	790				
1	351	156,36	745	791				
2	351	156,969	743	790				
3	351	158,939	745	791				
4	351	159,249	745	791				
5	351	158,819	745	791				
6	351	158,76	745	791				
0	352	158,867	745	791				
1	352	158,772	745	791				
2	352	158,986	744	791				
3	352	158,593	746	791				
4	352	156,766	745	791				
5	352	155,751	746	791				
6	352	156,42	746	792				
0	353	158,867	747	793				
1	353	158,748	747	793				
2	353	159,213	746	793				
3	353	158,903	748	793				
4	353	158,091	747	793				
5	353	156,694	748	793				
6	353	155,68	748	793				
0	354	157,697	748	793				
1	354	158,163	748	794				
2	354	159,32	746	794				
3	354	159,5	748	794				
4	354	159,189	748	794				
5	354	158,855	748	794				
6	354	158,7	748	794				
0	355	158,819	749	795				
1	355	158,712	749	795				
2	355	159,309	748	795				
3	355	159,404	749	795				
4	355	159,142	749	795				
5	355	158,879	749	795				
6	355	158,7	749	795				
0	356	158,843	750	796				
1	356	158,736	750	796				
2	356	159,321	749	796				
3	356	159,249	750	796				
4	356	159,022	750	796				
5	356	158,807	750	796				
6	356	158,7	750	796				
0	357	158,855	751	797				
1	357	158,712	751	797				
2	357	159,368	750	797				
3	357	159,464	751	797				
4	357	159,13	751	797				
5	357	158,915	751	797				
6	357	158,7	751	797				
0	358	156,229	753	798				
1	358	156,217	753	798				
2	358	157,112	752	798				
3	358	158,807	753	799				
4	358	159,297	753	799				
5	358	158,915	753	799				
6	358	158,7	753	799				
0	359	158,927	753	799				
1	359	158,748	753	799				
2	359	159,392	753	799				
3	359	159,452	753	799				
4	359	159,046	753	799				
5	359	158,939	753	799				
6	359	158,7	753	799				
